SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
Champawat,1901,3.9,1.8,0.5,0.1,1.7,0.2,17.1,28.9,11.3,0.3,0,0.6,66.46023041,5.7,2.3,57.5,1
Champawat,1902,0,0.3,1.3,1.4,2.8,4.1,27.6,13.6,9.3,1,0,0,127.7492934,0.3,5.6,54.5,1
Champawat,1903,1.9,0.4,2.2,0.4,0.8,4.9,12.7,19.2,17.6,2.5,0,0.1,123.9818049,2.2,3.4,54.4,2.7
Champawat,1904,1.3,0,1.9,0.4,2.4,16.1,27.1,25.8,8.5,0,1.2,0.6,148.166257,1.3,4.8,77.5,1.9
Champawat,1905,4.8,4.8,1.8,0.5,6.6,11.5,16.4,28.2,8.5,0,0,0.5,169.0748591,9.6,9,64.5,0.5
Champawat,1906,0.8,4,1.6,0.2,2.6,7.5,26.9,20.1,16.8,1.1,0.2,0,165.4654916,4.8,4.4,71.3,1.4
Champawat,1907,1.2,4.5,6.8,1.6,3.3,7.1,18.4,20,4.8,0,0,0,149.4759601,5.6,11.7,50.3,0
Champawat,1908,2,0.9,0,0.4,1,12.6,23.1,23.4,2.3,0,0.1,0.1,133.4064696,2.9,1.4,61.4,0.2
Champawat,1909,3.2,1.9,0,2.2,1.4,15.9,22.4,30.4,2.6,0.8,0,2.8,149.3110011,5.1,3.6,71.2,3.6
Champawat,1910,0.8,3,0.6,0.7,1.9,15.7,30.5,25.2,14.7,9.6,0.1,0.2,186.5415438,3.8,3.2,86.2,9.9
Champawat,1911,5.9,0.3,5.2,0.7,1.8,16.3,12.5,25.9,14.6,3.6,1.1,0,191.0162058,6.3,7.7,69.4,4.6
Champawat,1912,3.7,2.5,1.6,0.7,1.6,6.7,16.7,23.9,10.2,0.1,1.7,0.5,157.8899642,6.2,3.9,57.5,2.3
Champawat,1913,0.4,3.9,2.6,0.6,5.2,21.2,14,17.5,6,0.9,0.4,1.6,144.0991424,4.2,8.4,58.7,2.9
Champawat,1914,0,4.3,3.6,2.1,5.8,10.4,38,29.7,25.8,0.3,1.3,0,195.5081183,4.3,11.5,103.8,1.7
Champawat,1915,1.1,4.2,6.2,1.2,7.2,6.1,23.6,43.3,10.7,0.2,0,0.5,225.6029724,5.2,14.6,83.8,0.7
Champawat,1916,0.2,0.5,0,0.8,1.8,28.5,23.7,20.5,18.1,8.4,0,0,206.6480825,0.7,2.6,90.7,8.4
Champawat,1917,0,1.7,2.4,2.6,8.2,18.9,31.9,19.4,16,4,0,0.8,208.3605249,1.7,13.1,86.3,4.9
Champawat,1918,0.4,0,1.7,3.1,5.3,19.3,25.4,35.3,10.4,0,0,0,206.9556528,0.4,10.1,90.4,0
Champawat,1919,5.5,0.2,1.1,2,1.6,22.3,20.1,12.2,7.8,0.3,0.5,0,174.587427,5.6,4.7,62.4,0.8
Champawat,1920,0.2,0.7,3.2,0,3.4,10.5,23.4,21.3,2.6,1.2,0,0,140.2054137,0.9,6.6,57.8,1.2
Champawat,1921,1.7,0,0.8,0.6,0.1,16.8,24.6,42.9,19.4,2.3,0,0,175.9363737,1.7,1.5,103.8,2.3
Champawat,1922,1,0,0,0.1,0,9.4,28,41.5,20.7,0.1,0,1.5,211.7295084,1,0.1,99.5,1.7
Champawat,1923,1.8,3.9,0,0.7,1.5,7.9,25.7,24.6,8.7,2.4,0.6,1.5,181.6822734,5.7,2.3,66.9,4.5
Champawat,1924,0.4,2.1,0.9,0,0.9,0.8,30.4,26.5,23.6,3.8,0,1.4,170.1188643,2.4,1.8,81.3,5.3
Champawat,1925,1.8,0,0.1,2.6,0.9,17,24.9,14.8,4.9,2.3,0.1,0,160.1047783,1.8,3.6,61.5,2.4
